EXPERIMENT_ID,API_TYPE,QUERY_TYPE,REPOSITORY,EXECUTION_TIME_MS,RESPONSE_SIZE_BYTES,TIMESTAMP
24,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,307.2558330000029,176,2024-11-14T17:44:42.454Z
25,REST,Basic,freeCodeCamp/freeCodeCamp,335.5483749999985,6983,2024-11-14T17:44:43.793Z
25,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,276.8297079999975,176,2024-11-14T17:44:44.070Z
26,REST,Basic,freeCodeCamp/freeCodeCamp,309.27404200000456,6983,2024-11-14T17:44:45.381Z
26,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,273.26108399999794,176,2024-11-14T17:44:45.654Z
27,REST,Basic,freeCodeCamp/freeCodeCamp,408.61912499999744,6983,2024-11-14T17:44:47.064Z
27,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,251.76829200000066,176,2024-11-14T17:44:47.316Z
28,REST,Basic,freeCodeCamp/freeCodeCamp,309.44629200000054,6983,2024-11-14T17:44:48.642Z
28,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,251.57050000000163,176,2024-11-14T17:44:48.893Z
29,REST,Basic,freeCodeCamp/freeCodeCamp,330.16991699999926,6983,2024-11-14T17:44:50.225Z
29,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,266.6438330000019,176,2024-11-14T17:44:50.492Z
30,REST,Basic,freeCodeCamp/freeCodeCamp,337.5319159999999,6983,2024-11-14T17:44:51.829Z
30,GRAPHQL,Basic,freeCodeCamp/freeCodeCamp,309.0386670000007,176,2024-11-14T17:44:52.139Z
31,REST,Medium,freeCodeCamp/freeCodeCamp,628.6359159999993,150545,2024-11-14T17:44:53.770Z
31,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,463.54254100000253,11659,2024-11-14T17:44:54.234Z
32,REST,Medium,freeCodeCamp/freeCodeCamp,492.44295799999963,150545,2024-11-14T17:44:55.728Z
32,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,452.2330000000002,11659,2024-11-14T17:44:56.180Z
33,REST,Medium,freeCodeCamp/freeCodeCamp,514.1983749999999,150545,2024-11-14T17:44:57.695Z
33,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,430.13837500000227,11659,2024-11-14T17:44:58.126Z
34,REST,Medium,freeCodeCamp/freeCodeCamp,411.6343329999945,150545,2024-11-14T17:44:59.539Z
34,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,429.6509159999987,11659,2024-11-14T17:44:59.969Z
35,REST,Medium,freeCodeCamp/freeCodeCamp,439.99487500000396,150545,2024-11-14T17:45:01.411Z
35,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,492.3677080000052,11659,2024-11-14T17:45:01.904Z
36,REST,Medium,freeCodeCamp/freeCodeCamp,574.437874999996,150545,2024-11-14T17:45:03.479Z
36,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,557.7766669999983,11659,2024-11-14T17:45:04.037Z
37,REST,Medium,freeCodeCamp/freeCodeCamp,454.202750000004,150545,2024-11-14T17:45:05.492Z
37,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,395.3629579999979,11659,2024-11-14T17:45:05.888Z
38,REST,Medium,freeCodeCamp/freeCodeCamp,412.4769579999993,150545,2024-11-14T17:45:07.305Z
38,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,446.2889159999977,11659,2024-11-14T17:45:07.751Z
39,REST,Medium,freeCodeCamp/freeCodeCamp,499.4689580000122,150545,2024-11-14T17:45:09.259Z
39,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,435.69833300000755,11659,2024-11-14T17:45:09.695Z
40,REST,Medium,freeCodeCamp/freeCodeCamp,503.50591600000917,150545,2024-11-14T17:45:11.202Z
40,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,415.9139170000126,11659,2024-11-14T17:45:11.618Z
41,REST,Medium,freeCodeCamp/freeCodeCamp,453.395875000002,150545,2024-11-14T17:45:13.074Z
41,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,411.61470899998676,11659,2024-11-14T17:45:13.486Z
42,REST,Medium,freeCodeCamp/freeCodeCamp,475.4855830000015,150545,2024-11-14T17:45:14.964Z
42,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,469.3407920000027,11659,2024-11-14T17:45:15.433Z
43,REST,Medium,freeCodeCamp/freeCodeCamp,391.29241699998965,150545,2024-11-14T17:45:16.827Z
43,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,455.74916700000176,11659,2024-11-14T17:45:17.283Z
44,REST,Medium,freeCodeCamp/freeCodeCamp,448.26137500000186,150545,2024-11-14T17:45:18.733Z
44,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,439.84725000000617,11659,2024-11-14T17:45:19.173Z
45,REST,Medium,freeCodeCamp/freeCodeCamp,383.1057499999879,150545,2024-11-14T17:45:20.558Z
45,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,364.63816699999734,11659,2024-11-14T17:45:20.923Z
46,REST,Medium,freeCodeCamp/freeCodeCamp,470.75841700000456,150545,2024-11-14T17:45:22.396Z
46,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,506.2089580000029,11659,2024-11-14T17:45:22.903Z
47,REST,Medium,freeCodeCamp/freeCodeCamp,419.72775000000547,150545,2024-11-14T17:45:24.325Z
47,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,526.9338330000028,11659,2024-11-14T17:45:24.852Z
48,REST,Medium,freeCodeCamp/freeCodeCamp,456.2598330000037,150545,2024-11-14T17:45:26.311Z
48,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,365.05170799999905,11659,2024-11-14T17:45:26.676Z
49,REST,Medium,freeCodeCamp/freeCodeCamp,450.36316700000316,150545,2024-11-14T17:45:28.129Z
49,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,408.9940840000054,11659,2024-11-14T17:45:28.538Z
50,REST,Medium,freeCodeCamp/freeCodeCamp,499.7814999999973,150545,2024-11-14T17:45:30.040Z
50,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,382.34666700000525,11659,2024-11-14T17:45:30.423Z
51,REST,Medium,freeCodeCamp/freeCodeCamp,394.98729099999764,150545,2024-11-14T17:45:31.821Z
51,GRAPHQL,Medium,freeCodeCamp/freeCodeCamp,502.8393339999893,11659,2024-11-14T17:45:32.324Z
52,REST,Medium,freeCodeCamp/freeCodeCamp,467.90487500000745,150545,2024-11-14T17:45:33.793Z
